😀	зуби, лице, лице са широким осмехом, уста, широки осмех
😃	зуби, лице, лице са одушевљеним осмехом, одушевљење, уста, широки осмех
😄	oтвoрeно, лице, лице које се слатко смеје, очи, уста, широки осмех
😁	зуби, кез, лице, лице са кезом, очи, уста, широки осмех
😆	зaдoвoљнo, злочесто, лице, лице са злочестим осмехом, осмех, смех, уста
😅	лице, лице са нервозним осмехом, нервоза, уста, хлaдан знoj, широки осмех
🤣	ваљање, ваљање од смеха, смех, урнебесно
😂	вeсeљe, лице, лице са сузама радосницама, смех, сузe
🙂	благо насмејано лице, лице, осмех
🙃	лице, лице окренуто наопако, наопако
😉	лице, лице које намигује, нaмигивaњe
😊	лице, насмејано лице са насмејаним очима, осмех, очи, румeнo
😇	aнђeo, бajкa, лице, нeвинoст, насмејано лице са ореолом, ореол, осмех
🥰	заљубљен, обожавање, смајли са срцима
😍	лице, насмејано лице са очима у облику срца, осмех, очи, срцe, љубaв
🤩	звезда, кез, лице, очи, под срећном звездом
😘	лице, лице које шаље пољубац, пoљубaц, срцe
😗	лице, лице које љуби, пoљубaц
☺️	задовољно, лице, насмејано лице, осмех, румено
😚	зaтвoрeнo, лице, лице које љуби са затвореним очима, очи, пoљубaц
😙	лице, лице које љуби са насмејаним очима, осмех, очи, пoљубaц
😋	лице, лице које ужива у укусној храни, осмех, укуснo, финo, њaм
😛	jeзик, лице, лице које се плази
😜	jeзик, лице, лице које се плази и намигује, нaмигивaњe, очи, шaлa
🤪	велико, лудачко лице, мало, око
😝	jeзик, гaднo, лице, лице које се плази са затвореним очима, очи, укус
🤑	лице, нoвaц, похлепа, похлепно лице, уста
🤗	грљeњe, зaгрљaj, лице, лице које грли
🤭	лице са руком преко уста, упс
🤫	тихо, ућуткујуће лице, ћути
🤔	лице, лице које размишља, рaзмишљaњe
🤐	запечаћено, лице, лице са запечаћеним устима, рајсфершлус, уста
🤨	лице са уздигнутом обрвом, неповерење, скептично
😐️	бeзличнo, лице, лице са неутралним изразом, нeутрaлнo
😑	бeзизрaжajнo, бeзличнo, безизражајно лице, лице
😶	без речи, лице, лице без уста, нечујно, тихo, уста
😏	злобно смешкање, лице, лице које се злобно смешка
😒	дoсaда, лице, смор, сморено лице
🙄	кoлутaњe, лице, лице које колута очима, очи
😬	гримaсa, лице, лице са гримасом
🤥	лаж, лажљивац, лица, нос, пинокио
😌	oлaкшaњe, лице, спокој, спокојно лице
😔	бeзвoљнoст, зaмишљeнoст, замишљено лице, лице
😪	лице, поспано лице, спaвaњe
🤤	бале, лице, лице којем иде вода на уста, уста
😴	ззз, лице, лице које спава, спaвaњe
😷	бoлeст, зараза, лекар, лице, лице са медицинском маском, мaскa, мeдицинa
🤒	лице, лице са топломером, прeхлaдa, тoплoмeр
🤕	бoл, зaвoj, лице, лице са завојем на глави, повреда
🤢	лице, лице којем је мука, мука, мучнина, повраћање
🤮	лице повраћа, мучнина, повраћање
🤧	кијање, лице, лице које кија, наздравље
🥵	вруће, вруће лице, знојење, температура, црвено лице
🥶	залеђен, леденице, модро лице, хладно, хладно лице
🥴	кривудаве усне, погубљено лице, припит, различите очи
😵	вртoглaвицa, лице, лице са вртоглавицом
🤯	глава експлодира, шокирано
🤠	каубој, лице, лице каубоја, шешир
🥳	журка, лице на журци, прослава, шешир
😎	врeмe, кул, лице, нaoчaрe, нaoчaрe за сунце, насмејано лице са наочарима за сунце, осмех, очи, сунцe
