‾	overline
‽	interrobang
‸	caret
⁂	asterism
😀	gaññi, kanam, kanam guy gaññi
😃	gémmiñ, kanam, kanam ak gémmiñ gu ubbeeku di muuñ, muuñ, ubbeeku
😄	bët, gémmiñ, kanam, kanam guy muuñ ak ubbeeku gémmiñ ak muuñ bët, muuñ, ubbeeku
😁	bët, gaññi, kanam, kanam guy gaññi ak bët yuy muuñ, muuñ
😆	gémmiñ, kanam, kanam guy muuñ ak ubbeeku gémmiñ ak buñ tëj bët, muuñ, reetaan, satisfied, ubbeeku
😅	kanam, kanam guy muuñ ak ubbeeku gémmiñ ak ñàqu tiitaange, muuñ, sedd, ubbeeku, ñàq
🤣	kanam, ree ba xalangu ci suuf, reetaan, suuf, xalangu
😂	kanam, kanam gu am rangooñu bànneex, mbegte, rangooñ, reetaan
🙂	kanam, kanam gu muuñ tuuti, muuñ
🙃	buñ juutal, kanam, kanam gu dëppu
😉	kanam, piis, piis benn bët
😊	bët, kanam, kanamu mbegte ak bët yuy muuñ, mbegte, muuñ
😇	feem, kanam, kanam guy muuñ ak serkal ci kawam, léebu fee, malaaka, muuñ, serkal ci kaw, xamul-dara
😍	bët, kanam, mbëggeel, muuñ, muuñ, kanam, xol, bët
🤩	biddeew, bët, dóor-biddeew, gaññi, kanam
😘	fóon, kanam, kanam guy ëf fóon
😗	fóon, kanam, kanam guy fóon
☺️	bàyyeeku, fësal, kanam, kanam guy muuñ, muuñ
😚	buñ tëj, bët, fóon, kanam, kanam guy fóon ak bët yu gëmm
😙	bët, fóon, kanam, kanam guy fóon ak bëti muuñ, muuñ
😋	bànneexu, kanam, kanam, bànneexu, ñeex, ñam, melaastiku, muuñ, neex, um
😛	kanam, kanam bu ànd ak làmmiñ wuñ tàllal, làmmiñ
😜	bët, kaf, kanam, kanam ak tàllal làmmiñ ak bët buy piis, làmmiñ, piis
🤪	bët, kanamu dof, ndaw, yaatu
😝	bët, cafka, kanam, kanam ak tàllal làmmiñ ak buñ tëj bët, làmmiñ, ñaaw
🤑	gémmiñ, kanam, kanamu gémmiñu xaalis, xaalis
🤗	kanam, kanamu kottante, kott, kottante
🤭	dar-gémmiñ, kanam ak loxo bu dar gémmiñ
🤫	kanamu shuut noppil, noppi, shuut
🤔	kanam, kanamu guy xalaat, xalaat
🤐	fermitiir, gémmiñ, kanam, kanam ak gémiñ guñ fermitiir
🤨	kanam ak buñ yëkkati yéen, ñaaw-njortu, ñàkka-wóolu
😐️	fige, kanam, kanam gu ni tekk, neutre
😑	bu waxul dara, budul wax dara, gu melul nenn, kanam, kanam gu melul nenn
😶	cellaaral, gémmiñ, kanam, kanam gu amul gémmiñ, tekk
😏	bëgg-waccu, kanam, kanam gu bëgg-waccu
😒	kanam, kanam gu ñàkk xorom, kontaanul, ñàkk-caaxaan
🙄	bët, kanam, kanam guy regeju, regeju
😬	kanam, kanam guy def yëfi golo, yëfi golo
🤥	buy fen, kanamu, kanamu fenkat, pinocchio
😌	kanam, kanam féex, noppalu
😔	bari-xalaat, dejected, kanam, kanamu kuy xalaat
😪	kanam, kanam guy nelaw, nelaw
🤤	guy yuut, kanam, kanam guy yuut
😴	kanam, kanam gu nelaw, nelaw, zzz
😷	doktor, garab, kanam, kanam guñ bàndaas, mask, sedd, wopp
🤒	feelaat, kanam, kanam gu ànd ak termomeetar, termomeetar, wopp
🤕	bandage, gaañu, kanam, kanam guñ laxas ak bàndaas, naxar
🤢	kanam, kanamu guy teey xel, waccu, xel muy teey
🤮	feebar, kanam guy waccu, waccu
🤧	gu jéggi dayo, kanamu, kanamu tissooli, tissooli
😵	diis, kanam, kanam gu diis
🤯	bopp buy toj, mbettel
🤠	kaboy, kanam, kanam gu sol mbaxane kaboy, mbaxane, sàmm-bu-jigéen
😎	bët, jant, kanam, lunet, muuñ, muuñ, kanam, nuwaarfime, neex-deret, nuwaarfime, weer, yànj
🤓	bëgg-masin, kanam, kanamu bëñu lëk, lëk
🧐	fatt, kanam ak lunet-bennbët
😕	jaaxasoo, kanam, kanam gu jaaxasoo
😟	jaaxle, kanam, kanam gu jaaxle
🙁	aj-yéen, kanam, kanam gu ànd ak yéen yu xawa lemu
☹️	aj-yéen, aj-yéen kanam, kanam
😮	gémmiñ, kanam, kanam ak gémiñ gu ubbeeku, sympaty, ubbeeku
😯	guñ juutal, jaaxle, kanam, kanam guñ juutal, waaru
😲	bu baax, kanam, kanam gu waaru, soke, waaru
😳	bu am tomb yu xonk, kanam, kanam gu am tomb yu xonk, xel mu deppaar
😦	aj ay yéen, gémmiñ, kanam, kanam gu ànd ak yéen yu lemu ak gémmiñ gu ubbiku, ubbeeku
😧	kanam, kanam gu xawa jaaxle, xawa jaaxle
😨	kanam, kanam guy tiitaleete, ragal, tiit
😰	baxa, gaawantu, gémmiñ, kanam, kanam ak ubbeeku gémmiñ ak ñàqu tiitaange, sedd, ubbeeku, ñàq
😥	féex, kanam, kanamu mbetteel te féex, kapris, mbetteel
😢	jooy, kanam, kanam guy jooy, rangooñ, xol-bu-neexul
😭	jooy, kanam, kanam guy jooy ca kaw, rangooñ, sob, xol-bu-neexul
😱	kanam, kanam guy jooy te tiit, ragal, tiit, yuuxu, yëy
😖	jaawale, kanam, kanam gu jaawale
😣	kanam, kanam guy ñafe, ñafe
😞	kanam, kanam gu am mbetteel, mbetteel
😓	kanam, kanam ak ñaq wu sedd, sedd, ñàq
😩	jommi, kanam, kanamu coono, sonn
😫	kanam, kanam gu sonn, sonn
😤	gañe, kanam, kanam gu ànd ak saxaaru bakkan, ndam
😡	dof, kanam, kanam guy puucatu, mer, puucatu, xonk
😠	dof, kanam, kanam gu mer, mer
🤬	kanam ak màndarga ci gémmiñ, waat
😈	béjjen, feem, kanam, kanam gu am ay béjjen, léebu fee, muuñ
👿	dëmm, feem, imp, jinne, kanam, kanam gu mer am ay béjjen, léebu fee
